,access_date,type,country,cost,code,notes,note,pre,post_accept,post_decline,pass,accept_vendors,accept_legit,pre_vendors,pre_legit,decline_vendors,decline_legit,cmp,dec
"0180,info",,,Germany,"{'currency': 'EUR', 'amount': 2,99, 'basis': 'monthly'}",,,"Is a contentpass,net partner,",,,,0,0,0,0,0,0,0,0,0
"50plus,de",,,Germany,"{'currency': 'EUR', 'amount': 2,99, 'basis': 'monthly'}",,,"Is a contentpass,net partner,",,,,1,0,0,0,0,0,0,0,1
"additive-manufacturing-industry,de",,,Germany,"{'currency': 'EUR', 'amount': 2,99, 'basis': 'monthly'}",,,"Is a contentpass,net partner,",CPrL07APrL07AAfY1BDEDCCgAAAAAAAAAAigAAAAAAFAoAIC8wkAEBeYaACAvMRABAXmKgAgLzGQAQF5joAIC8yEAEBeZKACAvMpABAXmA,CPrL07APrL07AAfY1BDEDCCgAP_AAH_AAAigF5wAwDmgLaAXmBecAMA5oC2gF5gFAoAIC8wkAEBeYaACAvMRABAXmKgAgLzGQAQF5joAIC8yEAEBeZKACAvMpABAXmA,CPrL07APrL07AAfY1BDEDCCgAAAAAAAAAAigAAAAAAFAoAIC8wkAEBeYaACAvMRABAXmKgAgLzGQAQF5joAIC8yEAEBeZKACAvMpABAXmA,1,3,3,0,0,0,0,31,2
"aerztezeitung,de",,Newspaper,Germany,"{'currency': 'EUR', 'amount': 2,99, 'basis': 'monthly'}",,,"Is a contentpass,net partner,",,"CPrL07APrL07AAcABBENDCCgAP_AAAAAAAYgJaBFBCpNDWEIMXxbANJgGYAU1sQQYCQACBCAAwAFDAGA8IAAkQEAEAQAEAAAAQQAgFABAEAAABBEABCAAAAEAAFkAAQQgAAIAAAEAAEQQgBAAAgAAAIgAAAIAAABCwAAkACQAcKGBEAABIAQCAAAgAAABACAAAOASAAYAAAAAAICAABAB-_9__________3_79_7_H9-f_9AAAAiEgPgAIAAqABkADkAHwAgABlAEQARQAmABPADeAHMAPwAhIBDAESAJYAUoAtwBhwD7AP0AgYBGgC5gGKANoAbgBQ4C8wGDAOTAeOBCEIANAC2AIsAXwA5wD0AIbAReAuIBkIDggIGAQuAi4GADgBPAC2AIsBDYCLwEtALiDQBAAuACGAH4AWgQAHACeAFsARYCGwEXgJaAXEIgBACGAH4KgCABMAC4AWgBeYyAEAEwBeYwACAWIcAOAAQABcALYAZABCAC-AHOAegBCACGwFxAMhAaaA_EdAkAAqABkADkAHwAgABkAD6AIgAigBMACeAFwAN4AcwA_QCGAIkASwApQBbgDDAGjAPsA_QCBgEWALEAWgAuYBigDaAG4AReAmQBQ4C8wGDAMsAcmA8cgAHAAQAL4Ac4BYgD0ALaAYkQgFAAZACYAFwAN4A-wC0AFzAMUAbQB45KAgAAgADIAHAAiABMAC5AIYAiQBSgC3AH4AWgAxQBuAEXgLzAZYSACAAXADIAIQBLRSA2ABUADIAHIAPgBAADKAIgAigBMACeAFIAOYAfoBDAESAKUAW4A0YB9gH6ARYAuYBigDaAG4AReAocBeYDkwHjgQhKACwALgBkAEIAL4Ac4BIgCxAHoAcEBAwCLgA,f_gAAAAAAAAA","CPrL07APrL07AAcABBENDCCgAAAAAAAAAAYgAAAAAAIhID4ACAAKgAZAA5AB8AIAAZQBEAEUAJgATwA3gBzAD8AISAQwBEgCWAFKALcAYcA-wD9AIGARoAuYBigDaAG4AUOAvMBgwDkwHjgQhCADQAtgCLAF8AOcA9ACGwEXgLiAZCA4ICBgELgIuBgA4ATwAtgCLAQ2Ai8BLQC4g0AQALgAhgB-AFoEABwAngBbAEWAhsBF4CWgFxCIAQAhgB-CoAgATAAuAFoAXmMgBABMAXmMAAgFiHADgAEAAXAC2AGQAQgAvgBzgHoAQgAhsBcQDIQGmgPxHQJAAKgAZAA5AB8AIAAZAA-gCIAIoATAAngBcADeAHMAP0AhgCJAEsAKUAW4AwwBowD7AP0AgYBFgCxAFoALmAYoA2gBuAEXgJkAUOAvMBgwDLAHJgPHIABwAEAC-AHOAWIA9AC2gGJEIBQAGQAmABcADeAPsAtABcwDFAG0AeOSgIAAIAAyABwAIgATAAuQCGAIkAUoAtwB-AFoAMUAbgBF4C8wGWEgAgAFwAyACEAS0UgNgAVAAyAByAD4AQAAygCIAIoATAAngBSADmAH6AQwBEgClAFuANGAfYB-gEWALmAYoA2gBuAEXgKHAXmA5MB44EISgAsAC4AZABCAC-AHOASIAsQB6AHBAQMAi4AA,YAAAAAAAAAAA",1,0,0,0,0,0,0,0,3
"allesbeste,de",,,Germany,"{'currency': 'EUR', 'amount': 2,99, 'basis': 'monthly'}",,,"Is a contentpass,net partner,",,,,0,0,0,0,0,0,0,0,4
"analog-praxis,de",,,Germany,"{'currency': 'EUR', 'amount': 2,99, 'basis': 'monthly'}",,,"Is a contentpass,net partner,",CPrL07APrL07AAfNdPENDCCgAAAAAAAAAAigAAAAAAFAoCYABgALgAnABVACwALQAZABEACZAE4AT4BEAESAJgAUQApAB-gFzATIAtoBeYEDAkBMAAwAFwATgAqgBYAFoAMgAiABMgCcAJ8AiACJAEwAKIAUgA_QC5gJkAW0AvMCBgaAmAAYAC4AJwAVQAsAC0AGQARAAmQBOAE-ARABEgCYAFEAKQAfoBcwEyALaAXmBAwRATAAMABcAE4AKoAWABaADIAIgATIAnACfAIgAiQBMACiAFIAP0AuYCZAFtALzAgYKgJgAGAAuACcAFUALAAtABkAEQAJkATgBPgEQARIAmABRACkAH6AXMBMgC2gF5gQMGQEwADAAXABOACqAFgAWgAyACIAEyAJwAnwCIAIkATAAogBSAD9ALmAmQBbQC8wIGDoCYABgALgAnABVACwALQAZABEACZAE4AT4BEAESAJgAUQApAB-gFzATIAtoBeYEDCEBMAAwAFwATgAqgBYAFoAMgAiABMgCcAJ8AiACJAEwAKIAUgA_QC5gJkAW0AvMCBhKAmAAYAC4AJwAVQAsAC0AGQARAAmQBOAE-ARABEgCYAFEAKQAfoBcwEyALaAXmBAwpATAAMABcAE4AKoAWABaADIAIgATIAnACfAIgAiQBMACiAFIAP0AuYCZAFtALzAgYA,CPrL07APrL07AAfNdPENDCCoAP_AAH_AAAigIGQFwADAAXABOACqAFgAWgAyACIAEyAJwAngB-gEQARIAmABRACkAH6ARYAuYBgQDhAJkAW0AvMCBgIGQFwADAAXABOACqAFgAWgAyACIAEyAJwAngB-gEQARIAmABRACkAH6ARYAuYBgQDhAJkAW0AvMCBgBQKAmAAYAC4AJwAVQAsAC0AGQARAAmQBOAE-ARABEgCYAFEAKQAfoBcwEyALaAXmBAwJATAAMABcAE4AKoAWABaADIAIgATIAnACfAIgAiQBMACiAFIAP0AuYCZAFtALzAgYGgJgAGAAuACcAFUALAAtABkAEQAJkATgBPgEQARIAmABRACkAH6AXMBMgC2gF5gQMEQEwADAAXABOACqAFgAWgAyACIAEyAJwAnwCIAIkATAAogBSAD9ALmAmQBbQC8wIGCoCYABgALgAnABVACwALQAZABEACZAE4AT4BEAESAJgAUQApAB-gFzATIAtoBeYEDBkBMAAwAFwATgAqgBYAFoAMgAiABMgCcAJ8AiACJAEwAKIAUgA_QC5gJkAW0AvMCBg6AmAAYAC4AJwAVQAsAC0AGQARAAmQBOAE-ARABEgCYAFEAKQAfoBcwEyALaAXmBAwhATAAMABcAE4AKoAWABaADIAIgATIAnACfAIgAiQBMACiAFIAP0AuYCZAFtALzAgYSgJgAGAAuACcAFUALAAtABkAEQAJkATgBPgEQARIAmABRACkAH6AXMBMgC2gF5gQMKQEwADAAXABOACqAFgAWgAyACIAEyAJwAnwCIAIkATAAogBSAD9ALmAmQBbQC8wIGA,0,1,26,26,0,0,,,31,5
"anime2you,de",,,Germany,"{'currency': 'EUR', 'amount': 2,99, 'basis': 'monthly'}",,,"Is a contentpass,net partner,",,,,0,0,0,0,0,0,0,0,6
"aufunsere,art",,,Germany,"{'currency': 'EUR', 'amount': 2,99, 'basis': 'monthly'}",,,"Is a contentpass,net partner,",,,,1,0,0,0,0,0,0,0,7
"auszeit,bio",,,Germany,"{'currency': 'EUR', 'amount': 2,99, 'basis': 'monthly'}",,,"Is a contentpass,net partner,","CPrMGgAPrMGgAAGABCENDCCgAAAAAABAACQgAAAEigAgEiAAAAAA,YAAAAAAAAAAA","CPrMGgAPrMGgAAGABCENDCCgAP_AAABAACQgIxBFJCpNDWFAMHBdAJIgGYAU1sAQICQAABCAAwAFCAGA8IAA0QEAEAQAAAAAAAAAgVABAAAAAABEAACAAAAEAQFkAAQQgAAIAAAAAAEQQgBAAAgAAAAAAAAIAAABAwQAkACQIYKGBEAAhIAACAAAgIABAACAAAMACEAYAAAAAAIAAIBAAgJEMAAAAAEAAQEigAgEiAOCQJgAEAAVAAyAByAD4AQAAyABpAEQARQAmABPADeAHMAPwAhABDQCIAIkASwApQBhwD7AP0AgYBFACNAFzAMUAbQA3AB8gFDgLzAYMAw0BwQDkwHjgQhAhcBFIIAEAHOAugBkIEDA0AMAQ0A-wD8APkIgBgCGgH2AfgB8hUAIAJgC8xkAIAJgC8x0CYACoAGQAOQAfACAAGQANAAfQBEAEUAJgATwA3gBzAD8AIaARABEgCWAFKAMMAaMA-wD9AIGARQAiwBcwC9AGKANoAbgBF4CZAFDgLzAYMAw0BlgDkwHjgRSHACAAEAAXACgAOcBCAC6AGQgNNIQCwAMgBMADeAKUAfYBFAC5gGKANoA8cCFBAAGAAgAc4C6CUBIABAAGQAOAAfACIAEwAQ0AiACJAFLAPsA_AC5gGKANwAfIBF4C8wGWAQhJAAQALlIEAAFQAMgAcgA-AEAAMgAaQBEAEUAJgATwApABzAD8AIaARABEgClAGjAPsA_QCLAFzAMUAbQA3ACLwFDgLzAYaAywBwQDkwHjgQhAikUABgAXAHOBAwA,YAAAAAAAAAAA","CPrMGgAPrMGgAAGABCENDCCgAAAAAABAACQgAAAEigAgEiAAAAAA,YAAAAAAAAAAA",1,1,1,0,1,0,1,6,8
"autlook,at",,,Austria,"{'currency': 'EUR', 'amount': 2,99, 'basis': 'monthly'}",,,"Is a contentpass,net partner,",,,,0,0,0,0,0,0,0,0,9
