,access_date,type,country,cost,code,notes,note,pre,post_accept,post_decline,pass
vienna.at,2023-03-15,Newspaper,Austria,"{'currency': 'EUR', 'amount': 1.2, 'basis': 'weekly'}",,,,,CPrmMbAPrmMbAAcABBENDDCsAP_AAH_AAAYgJatf_X__b2_r-_5_f_t0eY1P9_7__-0zjhfdl-8N3f_X_L8X52M7vF36tq4KuR4ku3LBIUdlHPHcTVmw6okVryPsbk2cr7NKJ7PEmnMbO2dYGH9_n1_z-ZKY7___f__z_v-v________7-3f3__5___-__e_V__9zfn9_____9vP___9v-_9__________3_79_7_H9-f_9gloASYatxAF2ZY4M20YRQIgRhWEhVAoAKKAYWiAwgdXBTsrgJ9YRIAUAoAnAiBDgCjJgEAAAkASEQASBHggEABEAgABAAqEQgAY2AQWAFgIBAAKAaFijFAEIEhBkRERCmBAVIkFBPZUIJQf6GmEIdZYAUGj_ioQEayAisCISFg5DgiQEvFkgeYo3yAEYAUAolQrUUnpoCFjMAAAAA.f_gAD_gAAAAA,,1
vol.at,2023-03-15,Newspaper,Austria,"{'currency': 'EUR', 'amount': 1.2, 'basis': 'weekly'}",,,,,CPrmMbAPrmMbAAcABBENDDCsAP_AAH_AAAYgJatf_X__b2_r-_5_f_t0eY1P9_7__-0zjhfdl-8N3f_X_L8X52M7vF36tq4KuR4ku3LBIUdlHPHcTVmw6okVryPsbk2cr7NKJ7PEmnMbO2dYGH9_n1_z-ZKY7___f__z_v-v________7-3f3__5___-__e_V__9zfn9_____9vP___9v-_9__________3_79_7_H9-f_9gloASYatxAF2ZY4M20YRQIgRhWEhVAoAKKAYWiAwgdXBTsrgJ9YRIAUAoAnAiBDgCjJgEAAAkASEQASBHggEABEAgABAAqEQgAY2AQWAFgIBAAKAaFijFAEIEhBkRERCmBAVIkFBPZUIJQf6GmEIdZYAUGj_ioQEayAisCISFg5DgiQEvFkgeYo3yAEYAUAolQrUUnpoCFjMAAAAA.f_gAD_gAAAAA,,1
kurier.at,2023-03-15,Newspaper,Austria,"{'currency': 'EUR', 'amount': 3.6, 'basis': 'monthly'}",,,,,,,1
krone.at,2023-03-15,Newspaper,Austria,"{'currency': 'EUR', 'amount': 11.9, 'basis': 'monthly'}",,,,,,,1
derstandard.at,2023-03-15,Newspaper,Austria,"{'currency': 'EUR', 'amount': 8.0, 'basis': 'monthly'}",,,,CPrmeAAPrmeAAAGABCENDDCgAAAAAE_AACQgAAAOCgIgAXAByAD8AhABJwC2gF1AMCAa8A6oB2wD7AI9ATEAtQBpQDggCAgAEAH4aACAdURABAOqOAAgA_HQAQD7EQAICYikAEA-xUACAScA.YAAAAAAAAAAA,CPrmeAAPrmeAAAGABCENDDCsAP_AAE_AACQgHVFR5D4UDWFDSXZ5SMsQCIUXR0ADBCQDCACBAyAFAACAcAQQ0EAYIASAgAAAgAIAoBIBAABADAEAAAAgIIgBABEAAgAAAAAIICBAAAEBCQAAEAgIAAEAAAAIAABAAEAAgACQAArEAEBAAAEABoAIAAgAAIAFAgMDgoCIAFwAcgA_AIQAScAtoBdQDAgGvAOqAdsA-wCPQExALUAaUA4IBMJAhAAWABUADIAHgAQAAyABoADyAIgAigBMACeAG8AOYAegA_ACEgEQARIAmgBSgC3AGHAPwA_QCKAEcAJMAXMAxQCRAFDgLkAXmAwaBrAGshAAIAPw0AcALgA_ACTAFpAOqAkQBcgYACAMoRAFAH4ASYA6oCRAFyCAAIAyhUAYAJgAXACOAFpAXIAvMUABAGUMgCgBMAI4AVsBcgC8xgAEAZQ6BWAAsACoAGQAQAAyABoADyAIgAigBMACeAFwAMQAZgA3gBzAD0AH6ARABEgCaAFKALEAW4AwwBlADRgH4AfoBFACLAEcAJMAWkAuYBigD7AIvASIAocBcgC8wGDAMsAawA4scABAB-QgIgALAAyAEwALgAYgAzABvAD0AKUAWIBFACOAFpALmAYoBIgC5CIAEBMRAACAMolAVAAWABkAHgARAAmABcADEAGaARABEgClAFuAPwAjgBaQC5gGKAReAkQBeYDLAGsEgAIAyikCMABYAFQAMgAgABkADQAHkARABFACYAE8AKQAYgAzABzAD9AIgAiQBSgCxAFuAMoAaMA_AD9AIsARwArYBcwDFAH2AReAkQBQ4C5AF5gMsgawBrJUACAScAAA.YAAAAAAAAAAA,,1
lachainemeteo.com,2023-03-15,Weather,France,"{'currency': 'EUR', 'amount': 2.29, 'basis': 'monthly'}",['tcf-tagger.js'],"This site, meteoconsult.fr, weathercrave.co.uk, meteoconsult.it seem to all be identical.",,,,,1
lemonde.fr,2023-03-15,Newspaper,France,"{'currency': 'EUR', 'amount': 10.99, 'basis': 'monthly'}",,,,,,,1
allocine.fr,2023-03-15,Movie & TV Magazine,France,"{'currency': 'EUR', 'amount': 2.0, 'basis': 'monthly'}",,,,,,,1
sciencesetavenir.fr,2023-03-15,Science,France,"{'currency': 'EUR', 'amount': 4.0, 'basis': 'monthly'}",,,,,,,1
huffingtonpost.fr,2023-03-14,Newspaper,France,"{'currency': 'EUR', 'amount': 2.0, 'basis': 'monthly'}",,,,,,,1
capital.fr,2023-03-15,Newspaper,France,"{'currency': '', 'amount': '', 'basis': ''}",,,,CPrmeAAPrmeAAAGABCENDDCgAAAAAH_AACQgAAASEAIEBEQggIEMAAYAEAIAAAQpiQAAAAABAABAAAAKCAAQVgAIIIEAIAQAAAQAABAQgwAAAAAABCAAAACwQCAACAQAAgABAAAAEBAIAACAEAAAAAJARACAAACAggAAAgDAgAACCABAAAAACJDAAAOIIASABAhEAABEAACAAACAAAAAAAAAAAAAAAAAAAAAAAAAACAaEgCgAIAESAMsAfoBtAoAIARQDtw0AMAZYBBQDqiIAYAywDqgMjFQAwBHADLAZGMgBgCOAGWAyMdAFAB8AP0A6gB9gGRjwAYAKgBFAO3IQBABHAHUAWUAyMiACABUAmIlAFAAQAB8ARIB1AGRlIAgBtAD7AJOAZGVABAAqAB8.YAAAAAAAAAAA,CPrmeAAPrmeAAAGABCENDDCsAP_AAH_AACQgJNNN7C__aWNj-359Qft0eY1f99p3ruQhDhaJg6QF1LPCsLwVwmE6NE3opioKmBYEO1LAIQBlHIHUBQGAaokRoTHsak2MJgAAJ7JEkgMZUmdIGFVNm1lDmYIYz3w-0raR2C4NRNvMxMzhP4VP3WN5ts16qHDTVx8YhbH1cAABAAAAQoAAAAAAAAAAAAAAABAAEABAAAEEhACBAREIICBDAAGABACAAAEKYkAAAAAAQAAQAAACggAEFYACCCBACAEAAAEAAAQEIMAAAAAAAQgAAAAsEAgAAgEAAIAAQAAABAQCAAAgBAAAAACQEQAgAAAgIIAAAIAwIAAAggAQAAAAAiQwAADiCAEgAQIRAAARAAAgAAAgAAAAAAAAAAAAAAAAAAAAAAAAAAgIhIFAACAAFgAVAAyABwADwAIIAaABqADyAIgAigBMADeAHMAPQAfoBEAESAJYATQApQBbgDDAGWAPsAfoBFACTAFPANEAbQA3AB8gEOgJEAU0AtgBkgDPgGkANYgcmBygUAEAIoB24QACAtwNANAC4AMsAfYBBQCTAFPgLQAtIB1QD5AIdASIAz4BygiAWAMsAfYBJgCngHVAPkAh0BIgDIwGfAOUFQCQAmABcAEcAMuAtAC0gLYAZGAz4BygyAQAEwARwAywCtgLYAZGAz4Byg6BoAAsACoAGQAOAAgABjADQANQAeAA-gCIAIoATAAuABiADMAG8AOYAegA_ACIAEsAJoAUYApQBbgDDAGUANEAfYA_QCKAEdAJMAU-AtAC0gF5ANwAdQA-wCHQEiAJkAU0AtiBkYGSAMsAZmAz4BpADWIHJgcoBAECOw8AGACoARQDtxwAEBbhCAyAAsADIAMQAagBMAC4AGIAMwAbwA9ACOAFKAMoAfYBFACnwFoAWkA6gCRAFNALKAWwAyMBnwDlCIAIAFQCYiUCAABAACwAMgAcAA-ADEAHgARAAmABcADEAGaARABEgCjAFKALcAZQA-wCnwFoAWkA3AB1AD5AIdASIAtgBkYDLAGfANIAawBAEkABAW4UgUAALAAqABkADgAIAAYwA0ADUAHkARABFACYAFIAMQAZgA5gB-AEQAKMAUoAtwBlADRAH2AR0ArYBeQDaAG4APsAh0BIgCTgFsQMjAyQBlgDPgGkANYgcmBygDxQI7FQAQAKgAfFAAIC3AAA.f_gAAAAAAAAA,,1
le10sport.com,2023-03-20,Newspaper,France,"{'currency': 'EUR', 'amount': 2.0, 'basis': 'monthly'}",,,,,,,1
